x [mm],ls [mV],ld [mV],bs [Hz],bd [Hz]
6.98,77.6,364.4,39.4,52.8
7,76.7,335.4,39.4,54.4
7.02,75.9,299.4,38.5,46.5
7.04,75.1,276.4,38.8,45.9
7.06,74.1,248.4,39,41.8
7.08,73.5,218.4,35.5,35.7
7.1,72.6,192.4,32.9,29.5
7.12,71.8,165.4,32.8,31.9
7.14,70.9,135.4,30.3,29.9
7.16,70.2,113.4,33.8,21.8
7.18,69.3,92.4,28.6,18.7
7.2,68.6,72.2,30.1,16.3
7.22,67.8,55.6,32.2,14.4
7.24,66.8,42.0,30.5,10.2
7.26,65.9,31.5,30.6,6.7
7.28,65.2,24.3,28.5,3.7
7.3,64.5,19.3,28.3,5.2
7.32,63.7,16.8,29.1,4.1
7.34,62.8,17.5,28,5.5
7.36,61.8,20.1,26.3,3.5
7.38,61.2,24.2,28.7,4
7.4,60.5,32.2,29.5,3.8
7.42,59.5,44.0,24.1,5
7.44,58.9,56.7,22,8.2
7.46,58.1,70.3,24.1,10.5
7.48,57.2,79.0,26.3,11.2
7.5,56.5,96.4,23.9,14.6
7.52,55.8,107.4,23,14.8
7.54,55,128.4,20.1,14.8
7.56,54,147.4,21.6,19.4
7.58,53.3,152.4,18.2,22.3
7.6,52.3,172.4,18,24.9
7.62,51.6,186.4,17.7,24.1
7.64,50.9,193.4,18,30
7.66,50,206.4,15.5,27.6
7.68,49.4,216.4,16.4,30.2
7.7,48.5,222.4,16.6,25.9
7.72,47.8,226.4,17.7,29
7.74,47.2,229.4,22.2,28.8
7.76,46.3,230.4,12.7,29.6
7.78,45.7,230.4,17.7,30.6
7.8,44.9,227.4,13.7,25.6
7.82,44.1,223.4,14.9,24.6
7.84,43.3,216.4,13,19.2
7.86,42.5,209.4,14.3,21
7.88,41.7,199.4,13.1,18
7.9,41,187.4,17.5,17.9
7.92,40.4,176.4,11.7,16.9
7.94,39.6,163.4,12.7,10.5
7.96,39,152.4,10.7,14.4
7.98,38.4,140.4,10.9,7.7
8,37.5,126.4,10.4,6.9
8.02,36.9,111.4,9.9,4.5
8.04,36.1,96.4,10.1,7.6
8.06,35.5,85.7,10,4.7
8.08,34.7,73.1,7.9,3
8.1,33.9,63.2,8.9,2.1
8.12,33.4,53.4,11.1,3.5
8.14,32.8,46.8,8.7,4.8
8.16,32.3,38.5,7.7,3.5
8.18,31.4,31.0,8.1,3.2
8.2,30.8,25.0,10.2,1.9
8.22,30.2,21.0,6.7,3.2
8.24,29.4,17.6,7.3,7.2
8.26,28.9,16.0,5.6,7.3
8.28,28.4,15.3,8.1,8.4
8.3,27.6,15.5,6.3,7.3
8.32,27.1,16.6,5.4,9.5
8.34,26.5,18.5,5.8,11.6
8.36,26.1,20.5,7.8,10.5
8.38,25.4,24.0,7.9,12.4
8.4,24.9,27.3,5.7,13.1
8.42,24.4,31.0,5.8,16.7
8.44,23.9,35.4,6.9,13
8.46,23.5,39.7,6.4,12.3
8.48,22.8,45.2,4.4,11.8
8.5,22.4,49.4,5.3,12.4
8.52,21.8,53.1,5.7,12.4
8.54,21.3,56.0,6.3,13.8
8.56,20.8,59.3,4.9,10.5
8.58,20.2,61.7,4.4,12.7
8.6,19.8,64.2,2.4,8.8
8.62,19.1,65.2,4.1,11.1
8.64,18.8,66.2,4.8,7.7
8.66,18.1,66.7,5.2,10.7
8.68,17.7,66.3,4.2,6.2
8.7,17.4,65.5,2.6,3.7
8.72,16.8,64.4,2.6,6
8.74,16.3,62.2,4.3,3.5
8.76,16,60.2,3.6,6.1
8.78,15.1,57.6,4.5,4.3
8.8,14.8,54.8,3.5,4.7
8.82,14.5,52.4,3.8,2.9
8.84,14.2,48.4,6.8,3.7
8.86,13.6,45.5,3.1,2
8.88,12.9,40.5,3.4,2.3
8.9,12.7,38.3,1,2.9
8.92,12.2,34.4,4.1,3.4
8.94,11.8,30.7,3.9,1.2
8.96,11.4,27.9,3.6,1.8
8.98,11.1,25.0,4.1,1.8
9,10.7,22.2,2.7,2.3
9.02,10.2,18.6,4.2,2.7
9.04,9.9,16.0,3,2.5
9.06,9.5,14.4,1.4,3.9
9.08,9,12.7,1.9,4.1
9.1,8.8,11.6,2.3,4.5
9.12,8.5,10.6,0.5,4.2
9.14,8.1,10.0,2.3,4
9.16,7.6,9.4,2.5,2.7
9.18,7.2,9.0,1.9,4.8
9.2,7.1,8.8,2,5.2
9.22,6.6,8.6,3.9,4.8
9.24,6.3,8.6,3.8,2.4
9.26,6.1,8.6,2.8,3.5
9.28,6,8.8,2.7,1.9
9.3,5.6,9.0,1.2,2.6
9.32,5.3,9.0,3.3,2.7
9.34,5,9.2,2.1,2.6
9.36,4.6,9.1,2.5,3.9
9.38,4.4,9.0,1,2.3
9.4,4.1,9.0,3.5,2.1
9.42,3.9,8.7,2.8,3.4
9.44,3.6,8.3,3,2.7
9.46,3.3,7.8,2.4,2.1
9.48,3,7.3,3.8,3.8
9.5,3,7.4,3,1.9
